1400,"a strong man is approaching, seems willing to trade with you...",,Story16
1500,a floating man is approaching...,,Story17
1600,"a ship appears, several survivors on it...",,Story18
1700,survivors find something strange on the map...,,Story19
1800,a flying fish is passing by...,,Story20
1900,"a floating chest is approaching, seems full of wood...",,Flotage
1901,"a floating chest is approaching, emit strange smell...",,Flotage
1902,"a floating man is approaching, thanks god...",,Flotage
1903,"a floating chest is approaching, seems to be something in it...",,Flotage
1904,"a floating chest is approaching, seems very light...",,Flotage
1905,"a floating chest is approaching, seems viable...",,Flotage
1906,Some seaweed drifts ,,Flotage
1907,a metal box drifts ,,Flotage
1908,a log drifts ,,Flotage
1909,"a floating chest is approaching, seems some things in it...",,Flotage
1910,"a floating chest is approaching, seems some things in it...",,Flotage
1911,"a floating chest is approaching, seems some things in it...",,Flotage
1912,"a floating chest is approaching, seems some things in it...",,Flotage
1913,"a floating bag is approaching, seems some things in it...",,Flotage
1914,"a floating chest is approaching, seems some things in it...",,Flotage
1915,"a floating chest is approaching, seems some things in it...",,Flotage
1916,"a floating chest is approaching, seems some things in it...",,Flotage
1917,"a floating chest is approaching, seems some things in it...",,Flotage
1918,"a floating chest is approaching, seems some things in it...",,Flotage
1919,"a floating chest is approaching, seems some things in it...",,Flotage
1920,"a floating chest is approaching, seems some things in it...",,Flotage
1921,"a floating chest is approaching, seems some things in it...",,Flotage
1922,"a floating chest is approaching, seems some things in it...",,Flotage
1923,a sign drifts ,,Flotage
1924,an old garbage drifts ,,Flotage
1925,"a floating chest is approaching, seems some things in it...",,Flotage
1926,"a floating chest is approaching, seems some things in it...",,Flotage
1927,"a floating chest is approaching, seems some things in it...",,Flotage
2000,it's tornado there...,,Disaster
3000,a life is over there...,,Survivor
3100,Someone strange comes for trading...,,Trade
4000,It seems coverd the sun...,,Night
4001,something is going on...,,Catch the thief!
5000,Someone comes for trading...,,Trade
5001,Someone comes for trading...,,Trade
5002,Someone comes for trading...,,Trade
5010,Someone comes for trading...,,Trade
5011,Someone comes for trading...,,Trade
5012,Someone comes for trading...,,Trade
5050,Someone comes for trading...,,Trade
5051,Someone comes for trading...,,Trade
5052,Someone comes for trading...,,Trade
5053,Someone comes for trading...,,Trade
5060,Someone comes for trading...,,Trade
5061,Someone comes for trading...,,Trade
5062,Someone comes for trading...,,Trade
5063,Someone comes for trading...,,Trade
5064,Someone comes for trading...,,Trade
5065,Someone comes for trading...,,Trade
10001,Attention! Sharks there..,,Shark
10002,Attention! Ravens there..,,Raven
10003,Attention! Mutants there..,,Mutant
10004,Attention! Monster there..,,Monster
10005,Attention! Storm there..,,Storm
10006,Attention! Sharks there..!!,,Shark
10007,Attention! Sharks there..!!!,,Shark
10008,Attention! Ravens there..!!,,Raven
10009,Attention! Ravens there..!!!,,Raven
10010,Attention! Ravens there..!!!!,,Raven
10011,Attention! Ravens there..!!!!!,,Raven
10012,Attention! Ravens there..!!!!!!,,Raven
10013,Attention! Strange animals there..,,Catch the thief!
10014,a sea bird passes by...,,Sea Bird
10015,something is going on...,,Shark
10016,something is going on...,,Shark
10017,something is going on...,,Seagull
10018,something is going on...,,Raven
10019,something is going on...,,Cracker
10020,something is going on...,,Survivor
10021,something is going on...,,Mystery
10022,something is going on...,,Mutant
10023,something is going on...,,Mutant
10024,something is going on...,,Mutant
10025,something is going on...,,Mutant
10026,something is going on...,,Starved
10027,something is going on...,,Starved
10028,something is going on...,,Starved
10029,something is going on...,,Man eater
10030,something is going on...,,Man eater
10031,something is going on...,,Man eater
10032,something is going on...,,Raven
10033,something is going on...,,Raven
10034,something is going on...,,Raven
10035,something is going on...,,Melting
10036,something is going on...,,Melting
10037,something is going on...,,Melting
10038,something is going on...,,Strong Shark
10039,something is going on...,,Strong Mutant
10040,something is going on...,,Parrot
10041,something is going on...,,Cat
10042,something is going on...,,Steamachine
20001,Attention! A seagull is approaching...,,Seagull
20002,Attention! More seagulls are approaching...,,Seagulls
20003,Attention! A shark is approaching...,,Shark
20004,Attention! More sharks are approaching...,,Sharks
20005,A new day is coming...,,A new day
20006,something is going on...,,Happiness
30000,"a ship appears, nobody is on it...",,Traces
30001,"a ship appears, nobody is on it...",,Traces
100000,,,
100001,,,
100002,,,
100003,,,
100004,,,
100005,,,
100006,,,
100007,,,
