11,Réserve de fertilisant,"La réserve de fertilisant peut transforemer n'importe quelle nourriture en engrais, c'est une ressource importante pour créer des soil floor . Pour le faire fonctionner, sélectionnez en premier un Réserve de fertilisant, ensuite clic gauche plusieurs fois sur la nourriture que vous voulez y déposer. Cela plannifiera une tâche d'approvisionnement alimentaire pour les survivants. Une fois que la nourriture est introduite, attendez un peu le temps du processus. Pour récupérer l'engrais, vous pouvez faire un clic droit sur l'icône d'engrais plusieurs fois.","La réserve de fertilisant peut transforemer n'importe quelle nourriture en engrais, c'est une ressource importante pour créer des soil floor . Pour le faire fonctionner, sélectionnez en premier un Réserve de fertilisant, ensuite clic gauche plusieurs fois sur la nourriture que vous voulez y déposer. Cela plannifiera une tâche d'approvisionnement alimentaire pour les survivants. Une fois que la nourriture est introduite, attendez un peu le temps du processus. Pour récupérer l'engrais, vous pouvez faire un clic droit sur l'icône d'engrais plusieurs fois."
12,Stockage,"Le panneau stockage s'ouvrira automatiquement si un bâtiment dispose d'un espace de stockage. Clic gauche sur l'icône de l'objet pour augmenter le montant prévu et clic droit pour le diminuer. La condition par défaut où il n'y a qu'un seul nombre signifie que vous ne vous souciez pas du nombre d'objets à stocker.""",Le panneau stockage s'ouvrira automatiquement si un bâtiment dispose d'un espace de stockage. Clic gauche sur l'icône de l'objet pour augmenter le montant prévu et clic droit pour le diminuer. La condition par défaut où il n'y a qu'un seul nombre signifie que vous ne vous souciez pas du nombre d'objets à stocker.
13,Fabriquer une corde,"Les cordes sont utilisées dans beaucoup de recettes. Pour fabriquer une corde, première vous devez planter du lin, de la même manière que vous plantez un arbre. Construisez un atelier. Cliquez sur l'atelier pour ouvrir le panneau addition. Vous pouvez cliquer ici sur la recette de la corde plusieurs fois. Quand il y aura assez de matériaux, les survivants fabriqueront des cordes automatiquement.","Les cordes sont utilisées dans beaucoup de recettes. Pour fabriquer une corde, première vous devez planter du lin, de la même manière que vous plantez un arbre. Construisez un atelier. Cliquez sur l'atelier pour ouvrir le panneau addition. Vous pouvez cliquer ici sur la recette de la corde plusieurs fois. Quand il y aura assez de matériaux, les survivants fabriqueront des cordes automatiquement."
14,Améliorer une compétence,Chaque survivant a 5 types de compétences. Chacune des compétences peut être améliorée du Niveau0 au Niveau6. Pour augmenter de niveau vous devez laisser les survivants utiliser la compétence requise pour gagner de l'exp. Lorsque ils ont assez d'exp cliquez sur l'icône de compétence pour l'améliorer. Remarquez que chaque niveau possède une épreuve de compétence aléatoire. Terminer une épreuve donnerait un bonus de survie additionnel lors de l'augmentation du niveau. Et à partir du niveau4 vous devez au moins terminer 1 ~ 2 épreuves pour augmenter les compétences.,Chaque survivant a 5 types de compétences. Chacune des compétences peut être améliorée du Niveau0 au Niveau6. Pour augmenter de niveau vous devez laisser les survivants utiliser la compétence requise pour gagner de l'exp. Lorsque ils ont assez d'exp cliquez sur l'icône de compétence pour l'améliorer. Remarquez que chaque niveau possède une épreuve de compétence aléatoire. Terminer une épreuve donnerait un bonus de survie additionnel lors de l'augmentation du niveau. Et à partir du niveau4 vous devez au moins terminer 1 ~ 2 épreuves pour augmenter les compétences.
15,Pièce,"Tout espace clos avec au moins une porte est une pièce. Vous pouvez sélectionner la pièce si vous sélectionnez le filtre. Ensuite vous pouvez assigner des survivants à une pièce. Cela rendrait la pièce privée ce qui signifie que d'autres personnes ne peuvent pas entrer et utiliser quelque chose à l'intérieur. Avec un bâtiment différent à l'intérieur de la pièce vous pouvez créer une salle de travail, une salle de méditation, une salle à manger etc.","Tout espace clos avec au moins une porte est une pièce. Vous pouvez sélectionner la pièce si vous sélectionnez le filtre. Ensuite vous pouvez assigner des survivants à une pièce. Cela rendrait la pièce privée ce qui signifie que d'autres personnes ne peuvent pas entrer et utiliser quelque chose à l'intérieur. Avec un bâtiment différent à l'intérieur de la pièce vous pouvez créer une salle de travail, une salle de méditation, une salle à manger etc."
16,Déverouillage,Augmenter les compétences débloque des bâtiments et des recettes. Vous pouvez déverouiller d'autres bâtiments et recettes en les recherchant dans une salle de travail(et en fournissant des matériaux corrects) ou en fouillant une île. Les survivants auront parfois un moment de libre quand ils méditent dans la salle de méditation ou en regardant des peintures.,Augmenter les compétences débloque des bâtiments et des recettes. Vous pouvez déverouiller d'autres bâtiments et recettes en les recherchant dans une salle de travail(et en fournissant des matériaux corrects) ou en fouillant une île. Les survivants auront parfois un moment de libre quand ils méditent dans la salle de méditation ou en regardant des peintures.
17,Mode Création,En mode création vous pouvez construire librement. Mais vous ne pouvez construire des choses que si vous les avez déverrouillées en mode normal.,En mode création vous pouvez construire librement. Mais vous ne pouvez construire des choses que si vous les avez déverrouillées en mode normal.
18,Placer une pagaie,La pagaie doit être placée à côté de l'eau,Le côté avant et arrière de la pagaie doivent être dans l'eau.
101,GetWood,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
102,GetFish,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
103,GetWater,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
104,GetKebab,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
105,FightSeagull,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
106,BuildSoilFloor,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
107,FightShark,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
108,UnlockReciepe,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
109,BuildAPaddle,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
110,NoWood,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
111,MakeBed,,Paddle shoule be palced beside water. Both front and back side of paddle should be water.
112,PlayerInput,PlayerInput,PlayerInput.
